"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1488","Verify cancelled ACL entry is not saved","UI Regression","2026-08-12","broken","2026-08-12","ui.configuration.security.acl.UCApplicationACLTest","Test","ui.configuration.security.acl.UCApplicationACLTest","cancelACLRule"
"","56","Verify TDoS rule values are correctly stored in table","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.monitors.dos.TDosTest","Test","ui.configuration.security.monitors.dos.TDosTest","shouldVerifyConfigInTable"
"","496","Verify Learned Codecs PDF report can be exported successfully","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.codecs.LearnedCodecsTest","Test","ui.configuration.security.codecs.LearnedCodecsTest","exportPDFTest"
"","3040","Verify duplicate banned number validation message is displayed","UI Regression","2026-08-12","failed","2026-08-12","ui.configuration.security.banned.BannedNumbersTest","Test","ui.configuration.security.banned.BannedNumbersTest","addDuplicateNumber"
"","85","Verify banned numbers are displayed in the table","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.banned.BannedNumbersTest","Test","ui.configuration.security.banned.BannedNumbersTest","verifyNumber"
"","2266","Verify Option Rate Monitor configuration persists after page refresh using alternative values","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.monitors.dos.OptionRateMonitorTest","Test","ui.configuration.security.monitors.dos.OptionRateMonitorTest","shouldPersistConfigurationAfterRefresh"
"","1473","Verify all safelist user agents can be deleted successfully","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.safelist.SafelistUserAgentTest","Test","ui.configuration.security.safelist.SafelistUserAgentTest","deleteAll"
"","1173","Verify all banned countries can be deleted successfully","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.banned.BannedCountriesTest","Test","ui.configuration.security.banned.BannedCountriesTest","deleteAll"
"","100","testVerifyCallCostRule","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.policies.SourceCallRateTest","Test","ui.configuration.policies.SourceCallRateTest","testVerifyCallCostRule"
"","4220","testAddCallMinutesRule","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.policies.SourceCallRateTest","Test","ui.configuration.policies.SourceCallRateTest","testAddCallMinutesRule"
"Verify the edited Destination Call Volume rule details are correct in the table.","84","testVerifyEditedCallVolumeRule","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.policies.DestinationCallRateTest","Test","ui.configuration.policies.DestinationCallRateTest","testVerifyEditedCallVolumeRule"
"","794","Verify validation errors are displayed for empty RTP Monitor fields","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.monitors.RTPMonitorTest","Test","ui.configuration.security.monitors.RTPMonitorTest","shouldShowValidationErrorsForEmptyField"
"","2444","Verify alternate safelist user agent can be added successfully","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.safelist.SafelistUserAgentTest","Test","ui.configuration.security.safelist.SafelistUserAgentTest","addAltUserAgent"
"Verify rule creation can be cancelled.","3931","testCancelRuleCreation","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.policies.NewCountryCallTest","Test","ui.configuration.policies.NewCountryCallTest","testCancelRuleCreation"
"","969","Verify malicious user agent can be deleted successfully","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.endDevices.MaliciousUserAgentTest","Test","ui.configuration.security.endDevices.MaliciousUserAgentTest","deleteUserAgent"
"","3366","Verify Call Diversion rule cannot be created with invalid numeric values","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.policies.CallDiversionTest","Test","ui.configuration.policies.CallDiversionTest","verifyInvalidNumericValues"
"","222","Verify all safelist numbers can be deleted successfully","UI Regression","2026-08-12","broken","2026-08-12","ui.configuration.security.safelist.SafelistNumbersTest","Test","ui.configuration.security.safelist.SafelistNumbersTest","deleteAllNumber"
"Verify Call Rate Rule creation can be cancelled.","1986","testCancelRuleCreation","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.policies.CallRateRuleTest","Test","ui.configuration.policies.CallRateRuleTest","testCancelRuleCreation"
"","5718","Verify UC Application Security text field changes are discarded on cancel","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.UCApplicationSecurityTest","Test","ui.configuration.security.UCApplicationSecurityTest","cancelTextFieldChanges"
"","73","Verify BlackListed Codecs can be enabled successfully","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.codecs.BlackListedCodecsTest","Test","ui.configuration.security.codecs.BlackListedCodecsTest","enableBlackListedCodecs"
"","1298","Verify invalid SQL Injection patterns are rejected","UI Regression","2026-08-12","broken","2026-08-12","ui.configuration.security.monitors.SQLInjectionTest","Test","ui.configuration.security.monitors.SQLInjectionTest","shouldRejectNonSQLPattern"
"","2063","Verify user can add a TDoS tracking rule","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.monitors.dos.TDosTest","Test","ui.configuration.security.monitors.dos.TDosTest","shouldAddTDosRule"
